Mouse_RFID,Group_ID,mutant,histology,RC
0007CB44CE,1,FALSE,,FALSE
0007CDDBAF,1,FALSE,,FALSE
0007CD765E,1,FALSE,,FALSE
0007CB7051,1,FALSE,,FALSE
0007CD77C5,1,TRUE,none,TRUE
0007AC2B02,1,FALSE,,TRUE
0007CB0942,1,FALSE,,FALSE
0007CDC443,1,FALSE,,FALSE
0007CDADED,1,FALSE,,FALSE
0007CB6AB4,2,FALSE,,TRUE
0007CDEC0B,2,FALSE,,TRUE
0007CDEEE2,2,FALSE,,TRUE
0007CDE223,2,FALSE,,FALSE
0007CB3491,2,FALSE,,FALSE
0007CB2224,2,FALSE,,FALSE
0007CDEAA7,2,FALSE,,FALSE
0007CD5116,2,FALSE,,FALSE
0007CB4837,2,TRUE,none,FALSE
0007CDAD6B,3,FALSE,,FALSE
0007CE0327,3,FALSE,,FALSE
0007CDC91B,3,FALSE,,FALSE
0007CDDBAF,3,FALSE,,TRUE
0007CD86B3,3,FALSE,,TRUE
0007CD7FB2,3,TRUE,strong,FALSE
0007CDC395,3,TRUE,strong,FALSE
0007CB0942,3,FALSE,,FALSE
0007CD38E5,3,FALSE,,FALSE
0007CD81D3,3,FALSE,,TRUE
0007CD765E,4,FALSE,,FALSE
0007ABF555,4,TRUE,strong,FALSE
0007ACA781,4,FALSE,,TRUE
0007CB7051,4,FALSE,,TRUE
0007AC2B02,4,FALSE,,FALSE
0007CDEAA7,4,FALSE,,FALSE
0007CB2224,4,FALSE,,FALSE
0007CDC443,4,FALSE,,FALSE
0007CDADED,4,FALSE,,FALSE
0007CE0327,5,FALSE,,FALSE
0007CDEC0B,5,FALSE,,FALSE
0007CDDBAF,5,FALSE,,FALSE
0007CDE223,5,FALSE,,TRUE
0007CDEEE2,5,FALSE,,FALSE
0007CD77C5,5,TRUE,none,FALSE
0007CB3491,5,FALSE,,FALSE
0007CB0942,5,FALSE,,FALSE
0007CD72E3,5,FALSE,,FALSE
0007CB4837,5,TRUE,none,FALSE
0007CDAD6B,6,FALSE,,FALSE
0007CB6AB4,6,FALSE,,TRUE
0007CD765E,6,FALSE,,FALSE
0007CD5116,6,FALSE,,FALSE
0007CD86B3,6,FALSE,,FALSE
0007CDC395,6,TRUE,strong,FALSE
0007CB7051,6,FALSE,,TRUE
0007CDC443,6,FALSE,,FALSE
0007CDADED,6,FALSE,,FALSE
0007CE0327,7,FALSE,,FALSE
0007CDEEE2,7,FALSE,,FALSE
0007ACA781,7,FALSE,,FALSE
0007ABF555,7,TRUE,strong,FALSE
0007CD7FB2,7,TRUE,strong,FALSE
0007CD81D3,7,FALSE,,TRUE
0007CDEAA7,7,FALSE,,FALSE
0007CD72E3,7,FALSE,,TRUE
0007CD38E5,7,FALSE,,TRUE
0007CB2224,7,FALSE,,FALSE
0007CA3A3A,8,FALSE,,FALSE
0007CDEC0B,8,FALSE,,FALSE
0007CB486D,8,TRUE,none,FALSE
0007CDDBAF,8,FALSE,,TRUE
0007CD5116,8,FALSE,,FALSE
0007CD86B3,8,FALSE,,TRUE
0007CDC91B,8,FALSE,,FALSE
0007CDE223,8,FALSE,,FALSE
0007CB0942,8,FALSE,,FALSE
0007CA3A3A,10,FALSE,,FALSE
0007CB2302,10,TRUE,strong,FALSE
0007CE0327,10,FALSE,,FALSE
0007CDEC0B,10,FALSE,,TRUE
0007CB3713,10,FALSE,,FALSE
0007CDDBAF,10,FALSE,,FALSE
0007CDE223,10,FALSE,,TRUE
0007CB0942,10,FALSE,,FALSE
0007CB47A6,10,FALSE,,FALSE
0007F2B3FF,11,FALSE,,FALSE
0007CA3A72,11,TRUE,strong,FALSE
0007CB0B74,11,FALSE,,FALSE
0007CB0DBC,11,TRUE,none,FALSE
0007CB2407,11,TRUE,strong,FALSE
0007F2B8A2,11,TRUE,none,FALSE
0007F2B9FC,11,FALSE,,FALSE
0007F2B59E,11,FALSE,,TRUE
0007F2E3D4,11,FALSE,,FALSE
0007F2E37E,11,FALSE,,TRUE
0007CB0A48,12,FALSE,,TRUE
0007CB0AD4,12,FALSE,,FALSE
0007CB2ED2,12,FALSE,,TRUE
0007CB321B,12,FALSE,,FALSE
0007CB464C,12,TRUE,strong,FALSE
0007F2B957,12,TRUE,strong,FALSE
0007F2BA9B,12,FALSE,,FALSE
0007F2E455,13,TRUE,strong,FALSE
0007CA3B1C,13,FALSE,,FALSE
0007CB1E1F,13,FALSE,,FALSE
0007CB3D9B,13,FALSE,,FALSE
0007CB3F5E,13,FALSE,,FALSE
0007CB6BC3,13,FALSE,,FALSE
0007CB2183,13,TRUE,strong,FALSE
0007CB2277,13,TRUE,strong,FALSE
0007F2B8A6,13,TRUE,strong,FALSE
0007F2945F,13,FALSE,,FALSE
0007CB0CDD,14,FALSE,,FALSE
0007CB6DFA,14,TRUE,strong,FALSE
0007CB48B4,14,FALSE,,FALSE
0007F2B88A,14,FALSE,,FALSE
0007F2C687,14,FALSE,,FALSE
0007F2EEFA,14,FALSE,,FALSE
0007F2F26A,14,FALSE,,FALSE
0007F2F283,14,TRUE,strong,FALSE
0007F29741,14,FALSE,,FALSE
0007F2B3FF,15,FALSE,,FALSE
0007CA3A72,15,TRUE,strong,FALSE
0007CB0B74,15,FALSE,,FALSE
0007CB0DBC,15,TRUE,none,TRUE
0007CB2407,15,TRUE,strong,FALSE
0007F2B8A2,15,TRUE,none,FALSE
0007F2B9FC,15,FALSE,,FALSE
0007F2B59E,15,FALSE,,FALSE
0007F2E3D4,15,FALSE,,TRUE
0007F2E37E,15,FALSE,,TRUE
0007F2E455,16,TRUE,strong,FALSE
0007CA3B1C,16,FALSE,,FALSE
0007CB1E1F,16,FALSE,,FALSE
0007CB3D9B,16,FALSE,,FALSE
0007CB3F5E,16,FALSE,,FALSE
0007CB6BC3,16,FALSE,,FALSE
0007CB2183,16,TRUE,strong,FALSE
0007CB2277,16,TRUE,strong,FALSE
0007F2B8A6,16,TRUE,,FALSE
0007F2945F,16,FALSE,,FALSE
0007CB0CDD,17,FALSE,,FALSE
0007CB6DFA,17,TRUE,strong,FALSE
0007CB48B4,17,FALSE,,FALSE
0007F2B88A,17,FALSE,,FALSE
0007F2C687,17,FALSE,,FALSE
0007F2EEFA,17,FALSE,,FALSE
0007F2F26A,17,FALSE,,FALSE
0007F2F283,17,TRUE,strong,FALSE
0007F29741,17,FALSE,,FALSE
